id,nama,prov,created_at,updated_at
1,JAKARTA,DKI JAKARTA,2/1/2023 2:49,2/1/2023 3:54
2,KEPULAUAN SERIBU,DKI JAKARTA,2/1/2023 2:49,2/1/2023 3:54
3,CILEGON,BANTEN,2/1/2023 2:49,2/1/2023 3:54
4,LEBAK,BANTEN,2/1/2023 2:49,2/1/2023 3:54
5,PANDEGLANG,BANTEN,2/1/2023 2:49,2/1/2023 3:54
6,SERANG,BANTEN,2/1/2023 2:49,2/1/2023 3:54
7,TANGERANG,BANTEN,2/1/2023 2:49,2/1/2023 3:54
8,BANDUNG,JAWA BARAT,2/1/2023 2:49,2/1/2023 3:54
9,BANDUNG BARAT,JAWA BARAT,2/1/2023 2:49,2/1/2023 3:54
10,BANJAR,JAWA BARAT,2/1/2023 2:49,2/1/2023 3:54
11,BEKASI,JAWA BARAT,2/1/2023 2:49,2/1/2023 3:54
12,BOGOR,JAWA BARAT,2/1/2023 2:49,2/1/2023 3:54
13,CIAMIS,JAWA BARAT,2/1/2023 2:49,2/1/2023 3:54
14,CIANJUR,JAWA BARAT,2/1/2023 2:49,2/1/2023 3:54
15,CIMAHI,JAWA BARAT,2/1/2023 2:49,2/1/2023 3:54
16,CIREBON,JAWA BARAT,2/1/2023 2:49,2/1/2023 3:54
17,DEPOK,JAWA BARAT,2/1/2023 2:49,2/1/2023 3:54
18,GARUT,JAWA BARAT,2/1/2023 2:49,2/1/2023 3:54
19,INDRAMAYU,JAWA BARAT,2/1/2023 2:49,2/1/2023 3:54
20,KARAWANG,JAWA BARAT,2/1/2023 2:49,2/1/2023 3:54
21,KOTA CIMAHI,JAWA BARAT,2/1/2023 2:49,2/1/2023 3:54
22,KUNINGAN,JAWA BARAT,2/1/2023 2:49,2/1/2023 3:54
23,MAJALENGKA,JAWA BARAT,2/1/2023 2:49,2/1/2023 3:54
24,PANGANDARAN,JAWA BARAT,2/1/2023 2:49,2/1/2023 3:54
25,PURWAKARTA,JAWA BARAT,2/1/2023 2:49,2/1/2023 3:54
