"id","nama_kelurahan","kecamatan_id","dapil","kabkota","provinsi","kode_kel","created_at","updated_at","deleted"
"1","BANTARSARI","1","DAPIL 1","KOTA TASIKMALAYA","JAWA BARAT","32.78.09.1006","1/1/2023","2023-01-01","0"
"2","BUNGURSARI","1","DAPIL 1","KOTA TASIKMALAYA","JAWA BARAT","32.78.09.1003","1/1/2023","2023-01-01","0"
"3","CIBUNIGEULIS","1","DAPIL 1","KOTA TASIKMALAYA","JAWA BARAT","32.78.09.1005","1/1/2023","2023-01-01","0"
"4","SUKAJAYA","1","DAPIL 1","KOTA TASIKMALAYA","JAWA BARAT","32.78.09.1004","1/1/2023","2023-01-01","0"
"5","SUKALAKSANA","1","DAPIL 1","KOTA TASIKMALAYA","JAWA BARAT","32.78.09.1007","1/1/2023","2023-01-01","0"
"6","SUKAMULYA","1","DAPIL 1","KOTA TASIKMALAYA","JAWA BARAT","32.78.09.1001","1/1/2023","2023-01-01","0"
"7","SUKARINDIK","1","DAPIL 1","KOTA TASIKMALAYA","JAWA BARAT","32.78.09.1002","1/1/2023","2023-01-01","0"
"8","ARGASARI","2","DAPIL 1","KOTA TASIKMALAYA","JAWA BARAT","32.78.01.1004","1/1/2023","2023-01-01","0"
"9","CILEMBANG","2","DAPIL 1","KOTA TASIKMALAYA","JAWA BARAT","32.78.01.1003","1/1/2023","2023-01-01","0"
"10","NAGARAWANGI","2","DAPIL 1","KOTA TASIKMALAYA","JAWA BARAT","32.78.01.1002","1/1/2023","2023-01-01","0"
"11","TUGUJAYA","2","DAPIL 1","KOTA TASIKMALAYA","JAWA BARAT","32.78.01.1005","1/1/2023","2023-01-01","0"
"12","TUGURAJA","2","DAPIL 1","KOTA TASIKMALAYA","JAWA BARAT","32.78.01.1006","1/1/2023","2023-01-01","0"
"13","YUDANAGARA","2","DAPIL 1","KOTA TASIKMALAYA","JAWA BARAT","32.78.01.1001","1/1/2023","2023-01-01","0"
"14","CIKALANG","3","DAPIL 1","KOTA TASIKMALAYA","JAWA BARAT","32.78.03.1004","1/1/2023","2023-01-01","0"
"15","EMPANGSARI","3","DAPIL 1","KOTA TASIKMALAYA","JAWA BARAT","32.78.03.1002","1/1/2023","2023-01-01","0"
"16","KAHURIPAN","3","DAPIL 1","KOTA TASIKMALAYA","JAWA BARAT","32.78.03.1005","1/1/2023","2023-01-01","0"
"17","LENGKONGSARI","3","DAPIL 1","KOTA TASIKMALAYA","JAWA BARAT","32.78.03.1003","1/1/2023","2023-01-01","0"
